Unnamed: 0,Newspaper Title,Issue Date,Page Number,City
12760,The San Francisco Call,09-22-1903,6,"San Francisco, California"
12761,The San Francisco Call,12-03-1899,10,"San Francisco, California"
12762,The San Francisco Call,11-24-1895,22,"San Francisco, California"
12763,Evening Star,06-24-1924,4,"Washington, District Of Columbia"
12764,Evening Star,10-27-1924,5,"Washington, District Of Columbia"
12765,New-York Tribune,09-12-1912,4,"New York, New York"
12766,The Wisconsin Weekly Advocate,12-13-1900,3,"Milwaukee, Wisconsin"
12767,New-York Tribune,12-13-1920,1,"New York, New York"
12768,The Times,03-05-1899,7,"Washington, District Of Columbia"
12769,El Tucsonense,07-10-1930,3,"Tucson, Arizona"
12770,Idaho County Free Press,09-28-1894,3,"Grangeville, Idaho"
12771,Lexington Gazette,02-24-1904,4,"Lexington, Virginia"
12772,The Bismarck Tribune,12-27-1924,7,"Bismarck', 'Mandan, North Dakota"
12773,The Bismarck Tribune,01-03-1925,7,"Bismarck', 'Mandan, North Dakota"
12774,The San Francisco Call,03-19-1911,4,"San Francisco, California"
12775,Baxter Springs News,04-26-1902,2,"Baxter Springs, Kansas"
12776,Imperial Valley Press,04-14-1925,3,"El Centro, California"
12777,Grand Forks Herald,04-27-1920,2,"Grand Forks, North Dakota"
12778,The Daily Telegram,06-04-1912,3,"Clarksburg, West Virginia"
12779,Imperial Valley Press,12-10-1926,4,"El Centro, California"
12780,Elmore Bulletin,07-31-1895,1,"Rocky Bar', 'Mountain Home, Idaho"
12781,The Saint Paul Globe,02-11-1900,18,"Saint Paul, Minnesota"
12782,Arizona Republican,09-29-1918,23,"Phoenix, Arizona"
12783,Bonners Ferry Herald,02-03-1906,2,"Bonners Ferry, Idaho"
12784,The Garland Globe,08-04-1906,4,"Garland, Utah"
12785,The Tucumcari News And Tucumcari Times,09-20-1917,5,"Tucumcari, New Mexico"
12786,The Seattle Star,04-08-1915,1,"Seattle, Washington"
12787,The Laramie Republican,05-03-1910,6,"Laramie, Wyoming"
12788,Park County Herald,09-24-1924,3,"Cody, Wyoming"
12789,The Spokane Press,10-13-1910,9,"Spokane, Washington"
12790,Albuquerque Evening Citizen,10-27-1905,8,"Albuquerque, New Mexico"
12791,Casper Daily Tribune,04-13-1924,3,"Casper, Wyoming"
12792,The Independent,12-07-1928,3,"Elizabeth City, North Carolina"
12793,Iron County News,08-23-1924,5,"Hurley, Wisconsin"
12794,The Red Cloud Chief,12-14-1900,3,"Red Cloud, Nebraska"
12795,Casper Daily Tribune,06-14-1920,4,"Casper, Wyoming"
12796,Ashland Tidings,11-19-1917,7,"Ashland, Oregon"
12797,The Dolores Star,01-19-1923,4,"Dolores, Colorado"
12798,Semi-Weekly Herald,05-30-1910,4,"Durango, Colorado"
12799,The San Francisco Call,09-27-1910,14,"San Francisco, California"
12800,The San Francisco Call,06-09-1897,11,"San Francisco, California"
12801,Los Angeles Herald,10-26-1906,11,"Los Angeles, California"
12802,The Herald,03-01-1896,3,"Los Angeles, California"
12803,The Salt Lake Herald,09-22-1907,12,"Salt Lake City, Utah"
12804,The San Francisco Call,12-08-1912,62,"San Francisco, California"
12805,The San Francisco Call,06-20-1901,8,"San Francisco, California"
12806,The San Francisco Call,02-19-1900,9,"San Francisco, California"
12807,Imperial Valley Press,12-12-1912,1,"El Centro, California"
12808,South Bend News-Times,11-22-1928,21,"South Bend, Indiana"
12809,The Washington Times,09-01-1901,12,"Washington, District Of Columbia"
12810,Daily Kennebec Journal,03-12-1924,1,"Augusta, Maine"
12811,The San Francisco Call,02-19-1901,2,"San Francisco, California"
12812,The San Francisco Call,05-04-1904,8,"San Francisco, California"
12813,The San Francisco Call,04-01-1900,21,"San Francisco, California"
12814,The Record-Union,03-31-1896,2,"Sacramento, California"
12815,The San Francisco Call,09-12-1912,18,"San Francisco, California"
12816,The San Francisco Call,05-28-1913,16,"San Francisco, California"
12817,The San Francisco Call,01-28-1906,31,"San Francisco, California"
12818,The San Francisco Call,03-03-1904,16,"San Francisco, California"
12819,The San Francisco Call,01-07-1909,6,"San Francisco, California"
12820,The Milwaukee Leader,06-19-1920,2,"Milwaukee, Wisconsin"
12821,El Paso Herald,12-10-1919,14,"El Paso, Texas"
12822,El Paso Herald,05-03-1919,26,"El Paso, Texas"
12823,The Globe-Republican,08-01-1895,2,"Dodge City, Kansas"
12824,The Record-Union,08-03-1899,1,"Sacramento, California"
12825,The Worcester Spy,09-25-1900,11,"Worcester, Massachusetts"
12826,The Worcester Spy,09-27-1900,9,"Worcester, Massachusetts"
12827,The Record-Union,10-31-1895,1,"Sacramento, California"
12828,Great Falls Tribune,07-03-1921,10,"Great Falls, Montana"
12829,The Record-Union,04-13-1893,5,"Sacramento, California"
12830,The San Francisco Call,04-08-1895,9,"San Francisco, California"
12831,East Oregonian : E.O,06-30-1905,2,"Pendleton, Oregon"
12832,The Hawaiian Star,10-03-1911,5,"Honolulu, Hawaii"
12833,The Kemmerer Republican,02-02-1923,2,"Kemmerer, Wyoming"
12834,The Leavenworth Echo,10-02-1908,4,"Leavenworth, Washington"
12835,The Logan Republican,03-20-1915,4,"Logan, Utah"
12836,East Oregonian : E.O,11-24-1913,2,"Pendleton, Oregon"
12837,Albuquerque Daily Citizen,02-08-1898,3,"Albuquerque, New Mexico"
12838,Daily Arizona Silver Belt,12-31-1908,3,"Globe', 'Miami, Arizona"
12839,Lincoln County Leader,05-27-1910,6,"Toledo, Oregon"
12840,The Evening Statesman,03-28-1910,3,"Walla Walla, Washington"
12841,The Oroville Weekly Gazette,11-09-1917,2,"Oroville, Washington"
12842,Ashland Tidings,08-27-1917,7,"Ashland, Oregon"
12843,Casper Daily Tribune,07-14-1925,1,"Casper, Wyoming"
12844,Honolulu Star-Bulletin,01-29-1914,6,"Honolulu, Hawaii"
12845,Honolulu Star-Bulletin,01-29-1914,6,"Honolulu, Hawaii"
12846,The Tacoma Times,03-16-1916,8,"Tacoma, Washington"
12847,Arizona Republican,07-19-1893,3,"Phoenix, Arizona"
12848,Arizona Republican,07-20-1893,3,"Phoenix, Arizona"
12849,Arizona Republican,08-06-1893,3,"Phoenix, Arizona"
12850,Arizona Republican,09-26-1910,4,"Phoenix, Arizona"
12851,The Alaska Daily Empire,08-25-1922,1,"Juneau, Alaska"
12852,Los Angeles Herald,02-01-1908,8,"Los Angeles, California"
12853,Los Angeles Herald,02-01-1908,12,"Los Angeles, California"
12854,The San Francisco Call,10-26-1910,14,"San Francisco, California"
12855,The San Francisco Call,10-12-1912,30,"San Francisco, California"
12856,The Salt Lake Herald-Republican,10-30-1910,20,"Salt Lake City, Utah"
12857,The Bismarck Tribune,10-05-1921,4,"Bismarck', 'Mandan, North Dakota"
12858,The San Francisco Call,01-27-1912,24,"San Francisco, California"
12859,Deseret Evening News,02-18-1910,2,"Salt Lake City, Utah"
12860,The Seattle Post-Intelligencer,12-14-1899,11,"Seattle, Washington"
12861,Albuquerque Morning Journal,05-06-1915,1,"Albuquerque, New Mexico"
12862,The Hood River Glacier,12-28-1900,2,"Hood River, Oregon"
12863,South Bend News-Times,07-02-1927,1,"South Bend, Indiana"
12864,El Paso Herald,04-04-1919,16,"El Paso, Texas"
12865,The Birmingham Age-Herald,07-09-1913,2,"Birmingham, Alabama"
12866,The Birmingham Age-Herald,01-26-1917,1,"Birmingham, Alabama"
12867,San Antonio Light,04-06-1911,2,"San Antonio, Texas"
12868,Arizona Republican,12-18-1913,2,"Phoenix, Arizona"
12869,Tombstone Epitaph,02-05-1911,4,"Tombstone, Arizona"
12870,Bisbee Daily Review,12-29-1912,9,"Bisbee, Arizona"
12871,Weekly Journal-Miner,03-05-1913,7,"Prescott, Arizona"
12872,Camas Prairie Chronicle,07-06-1906,7,"Cottonwood, Idaho"
12873,Brownsville Herald,04-07-1913,1,"Brownsville, Texas"
12874,The Lamar Register,04-27-1910,2,"Lamar, Colorado"
12875,The San Francisco Call,07-30-1907,8,"San Francisco, California"
12876,South Bend News-Times,11-03-1928,1,"South Bend, Indiana"
12877,New Britain Herald,04-14-1927,21,"New Britain, Connecticut"
12878,The Springfield Herald,04-08-1910,2,"Springfield, Colorado"
12879,South Bend News-Times,06-28-1921,1,"South Bend, Indiana"
12880,The Record-Union,02-14-1891,2,"Sacramento, California"
12881,Perth Amboy Evening News,11-18-1924,1,"Perth Amboy, New Jersey"
12882,The Record-Union,04-13-1891,4,"Sacramento, California"
12883,The Mahnomen Pioneer,02-22-1929,7,"Mahnomen, Minnesota"
12884,The Alaska Citizen,12-04-1911,2,"Fairbanks, Alaska"
12885,The Minneapolis Journal,12-09-1901,8,"Minneapolis, Minnesota"
12886,Atlanta Tri-Weekly Journal,10-25-1924,1,"Atlanta, Georgia"
12887,New-York Tribune,08-21-1920,11,"New York, New York"
12888,New-York Tribune,04-17-1908,1,"New York, New York"
12889,The Abbeville Press And Banner,05-02-1906,7,"Abbeville, South Carolina"
12890,The White Pine News,09-07-1895,4,"East Ely', 'Treasure City', 'Taylor', 'Ely, Nevada"
12891,The Evening Herald,06-11-1897,2,"Shenandoah, Pennsylvania"
12892,The Barre Daily Times,09-15-1909,2,"Barre, Vermont"
12893,Albuquerque Morning Journal,06-11-1908,1,"Albuquerque, New Mexico"
12894,New Britain Herald,04-22-1925,10,"New Britain, Connecticut"
12895,The Richmond Palladium And Sun-Telegram,12-03-1918,5,"Richmond, Indiana"
12896,The Pioneer Express,08-20-1920,3,"Pembina, North Dakota"
12897,The Bismarck Tribune,10-06-1919,7,"Bismarck', 'Mandan, North Dakota"
12898,The Minneapolis Journal,01-29-1901,9,"Minneapolis, Minnesota"
12899,The San Francisco Call,10-16-1912,20,"San Francisco, California"
12900,The Alaska Daily Empire,10-25-1924,1,"Juneau, Alaska"
12901,The Nenana News,12-05-1922,1,"Nenana, Alaska"
12902,Tombstone Daily Prospector,08-23-1890,4,"Tombstone, Arizona"
12903,American Falls Press,05-20-1921,4,"American Falls, Idaho"
12904,The Seward Gateway,01-25-1922,1,"Seward, Alaska"
12905,Peninsula Enterprise,07-02-1927,9,"Accomac, Virginia"
12906,The Salt Lake Herald,02-13-1908,6,"Salt Lake City, Utah"
12907,The San Francisco Call,04-09-1910,23,"San Francisco, California"
12908,The Sun,03-12-1913,7,"New York, New York"
12909,The Monett Times,08-11-1922,2,"Monett, Missouri"
12910,El Paso Herald,09-06-1920,5,"El Paso, Texas"
12911,The Birmingham Age-Herald,06-11-1916,32,"Birmingham, Alabama"
12912,El Paso Herald,04-18-1919,16,"El Paso, Texas"
12913,The Red Cloud Chief,08-10-1911,8,"Red Cloud, Nebraska"
12914,Rock Island Argus,08-26-1913,7,"Rock Island, Illinois"
12915,Evening Times-Republican,02-28-1900,4,"Marshalltown, Iowa"
12916,The Houston Daily Post,04-27-1901,3,"Houston, Texas"
12917,The Montgomery Advertiser,03-24-1915,8,"Montgomery, Alabama"
12918,The Columbus Journal,07-05-1899,3,"Columbus, Nebraska"
12919,The Hawaiian Star,01-18-1912,8,"Honolulu, Hawaii"
12920,The Laramie Republican,06-01-1901,2,"Laramie, Wyoming"
12921,Albuquerque Daily Citizen,03-24-1903,2,"Albuquerque, New Mexico"
12922,The Wisconsin Tobacco Reporter,05-18-1900,5,"Edgerton, Wisconsin"
12923,Deseret Evening News,04-22-1902,2,"Salt Lake City, Utah"
12924,The San Francisco Call,08-19-1896,5,"San Francisco, California"
12925,The San Francisco Call,06-05-1908,7,"San Francisco, California"
12926,New Britain Herald,01-31-1925,6,"New Britain, Connecticut"
12927,The San Francisco Call,09-28-1900,6,"San Francisco, California"
12928,The San Francisco Call,07-15-1901,9,"San Francisco, California"
12929,The San Francisco Call,07-16-1904,5,"San Francisco, California"
12930,The Record-Union,11-29-1899,5,"Sacramento, California"
12931,The San Francisco Call,12-31-1909,5,"San Francisco, California"
12932,The Record-Union,09-16-1895,6,"Sacramento, California"
12933,Durango Semi-Weekly Herald,02-13-1905,3,"Durango, Colorado"
12934,Los Angeles Herald,03-12-1907,1,"Los Angeles, California"
12935,The Chickasha Daily Express,02-09-1901,7,"Chickasha, Oklahoma"
12936,Weekly Independent,07-26-1901,3,"Elko, Nevada"
12937,Custer Weekly Chronicle,10-22-1910,2,"Custer, South Dakota"
12938,The Record-Union,11-10-1897,1,"Sacramento, California"
12939,The San Francisco Call,07-07-1913,7,"San Francisco, California"
12940,The San Francisco Call,07-17-1903,6,"San Francisco, California"
12941,South Bend News-Times,02-16-1919,14,"South Bend, Indiana"
12942,The San Francisco Call,05-25-1910,5,"San Francisco, California"
12943,The San Francisco Call,06-13-1913,16,"San Francisco, California"
12944,The Idaho Springs Siftings-News,07-04-1919,1,"Idaho Springs, Colorado"
12945,The San Francisco Call,04-11-1903,13,"San Francisco, California"
12946,The Oasis,07-27-1907,5,"Arizola', 'Benson', 'Nogales, Arizona"
12947,The Border Vidette,03-11-1911,3,"Nogales, Arizona"
12948,Arizona Republican,01-21-1891,4,"Phoenix, Arizona"
12949,Douglas Daily Dispatch,07-29-1927,1,"Douglas, Arizona"
12950,The Princeton Union,12-08-1910,1,"Princeton, Minnesota"
12951,Bisbee Daily Review,02-01-1919,3,"Bisbee, Arizona"
12952,The Organized Farmer,09-26-1930,1,"Red Wing, Minnesota"
12953,The San Francisco Call,07-15-1903,13,"San Francisco, California"
12954,Arizona Republican,11-16-1916,17,"Phoenix, Arizona"
12955,Omaha Daily Bee,11-14-1896,9,"Omaha, Nebraska"
12956,The Coconino Sun,12-20-1912,1,"Flagstaff, Arizona"
12957,Mohave County Miner,01-26-1907,1,"Mineral Park, Arizona"
12958,Americus Times-Recorder,07-26-1922,1,"Americus, Georgia"
12959,Arizona Republican,04-24-1896,1,"Phoenix, Arizona"
12960,Arizona Silver Belt,07-09-1903,3,"Globe', 'Miami, Arizona"
12961,The Border Vidette,05-05-1923,2,"Nogales, Arizona"
12962,Mower County Transcript,02-14-1906,9,"Austin', 'Lansing, Minnesota"
12963,Lewiston Evening Teller,08-09-1904,2,"Lewiston, Idaho"
12964,The Bennington Evening Banner,03-12-1913,1,"Bennington, Vermont"
12965,The Salt Lake Herald,08-15-1897,9,"Salt Lake City, Utah"
12966,Los Angeles Herald,02-22-1905,2,"Los Angeles, California"
12967,The Herald,04-28-1895,2,"Los Angeles, California"
12968,The Sun,09-11-1913,13,"New York, New York"
12969,Le ProgrèS,10-04-1901,2,"Woonsocket, Rhode Island"
12970,Le ProgrèS,10-11-1901,2,"Woonsocket, Rhode Island"
12971,Great Falls Tribune,03-31-1922,11,"Great Falls, Montana"
12972,The Record-Union,05-04-1891,4,"Sacramento, California"
12973,The Record-Union,01-08-1899,5,"Sacramento, California"
12974,The San Francisco Call,06-02-1900,6,"San Francisco, California"
12975,The San Francisco Call,06-24-1905,4,"San Francisco, California"
12976,The San Francisco Call,12-02-1900,19,"San Francisco, California"
12977,New Britain Herald,07-01-1925,1,"New Britain, Connecticut"
12978,The Elkins Inter-Mountain,03-20-1926,1,"Elkins, West Virginia"
12979,The Indianapolis Times,01-11-1928,1,"Indianapolis, Indiana"
12980,The San Francisco Call,01-05-1902,24,"San Francisco, California"
12981,The San Francisco Call,09-11-1901,6,"San Francisco, California"
12982,Imperial Valley Press,08-06-1927,1,"El Centro, California"
12983,The Scranton Tribune,08-03-1900,9,"Scranton, Pennsylvania"
12984,The Scranton Tribune,08-20-1900,7,"Scranton, Pennsylvania"
12985,The Scranton Tribune,08-13-1900,7,"Scranton, Pennsylvania"
12986,Imperial Valley Press,09-19-1914,2,"El Centro, California"
12987,The Bridgeport Times And Evening Farmer,12-30-1919,11,"Bridgeport, Connecticut"
12988,The New Era,05-05-1910,3,"Walden, Colorado"
12989,The Holly Chieftain,04-29-1910,8,"Holly, Colorado"
12990,The Daily Sentinel,01-31-1913,4,"Grand Junction, Colorado"
12991,Imperial Valley Press,11-26-1919,1,"El Centro, California"
12992,The Elkins Inter-Mountain,10-20-1923,13,"Elkins, West Virginia"
12993,South Bend News-Times,12-14-1928,21,"South Bend, Indiana"
12994,Imperial Valley Press,08-31-1920,2,"El Centro, California"
12995,The Delta Independent,10-01-1915,5,"Delta, Colorado"
12996,The Detroit Times,03-18-1909,5,"Detroit, Michigan"
12997,The Laramie Republican,05-12-1921,1,"Laramie, Wyoming"
12998,Casper Daily Tribune,05-09-1924,7,"Casper, Wyoming"
12999,Honolulu Star-Bulletin,11-30-1917,4,"Honolulu, Hawaii"
13000,Evening Bulletin,01-16-1905,8,"Honolulu, Hawaii"
13001,Sistersville Daily Oil Review,02-01-1904,1,"Sistersville, West Virginia"
13002,El Paso Herald,04-14-1913,12,"El Paso, Texas"
13003,Omaha Daily Bee,06-08-1915,1,"Omaha, Nebraska"
13004,The Age-Herald,11-18-1900,6,"Birmingham, Alabama"
13005,Brownsville Herald,07-18-1930,1,"Brownsville, Texas"
13006,The Cape Girardeau Democrat,10-19-1895,2,"Cape Girardeau, Missouri"
13007,Evening Times-Republican,06-12-1915,4,"Marshalltown, Iowa"
13008,Decorah-Posten,09-23-1902,4,"Decorah, Iowa"
13009,The Frontier,05-16-1895,8,"O'Neill"", ""O'Neill City, Nebraska"
13010,Western News-Democrat,12-15-1898,1,"Valentine, Nebraska"
13011,The Van Buren Press,07-29-1899,1,"Van Buren, Arkansas"
13012,Albuquerque Morning Journal,10-08-1908,11,"Albuquerque, New Mexico"
13013,Albuquerque Morning Journal,11-02-1909,5,"Albuquerque, New Mexico"
13014,Iowa County Democrat,12-18-1902,11,"Mineral Point, Wisconsin"
13015,The Times,12-12-1900,2,"Richmond, Virginia"
13016,Arizona Republican,07-04-1899,7,"Phoenix, Arizona"
13017,Arizona Silver Belt,07-18-1891,2,"Globe', 'Miami, Arizona"
13018,The Savannah Morning News,04-06-1903,1,"Savannah, Georgia"
13019,The Yale Expositor,12-27-1895,7,"Yale, Michigan"
13020,Los Angeles Herald,09-26-1906,10,"Los Angeles, California"
13021,The San Francisco Call,03-07-1901,7,"San Francisco, California"
13022,The San Francisco Call,10-22-1910,16,"San Francisco, California"
13023,Los Angeles Herald,09-05-1891,5,"Los Angeles, California"
13024,The San Francisco Call,09-14-1907,9,"San Francisco, California"
13025,The San Francisco Call,04-10-1910,43,"San Francisco, California"
13026,The Omaha Morning Bee,03-23-1924,6,"Omaha, Nebraska"
13027,The Montgomery Advertiser,11-21-1926,30,"Montgomery, Alabama"
13028,The La Jara Chronicle,03-10-1905,2,"La Jara, Colorado"
13029,The Birmingham Age-Herald,01-27-1911,1,"Birmingham, Alabama"
13030,Fair Play,12-31-1910,1,"Sainte Genevieve, Missouri"
13031,Decorah-Posten Og Ved Arnen,03-07-1924,8,"Decorah, Iowa"
13032,Canton Weekly Register,12-15-1898,7,"Canton, Illinois"
13033,The Pioneer Express,02-11-1921,6,"Pembina, North Dakota"
13034,Grand Forks Herald,12-16-1919,5,"Grand Forks, North Dakota"
13035,Jamestown Weekly Alert,11-26-1908,7,"Jamestown, North Dakota"
13036,Imperial Valley Press,08-08-1916,3,"El Centro, California"
13037,The Houston Daily Post,07-27-1901,3,"Houston, Texas"
13038,The Evening World,04-23-1919,16,"New York, New York"
13039,El Paso Herald,02-17-1919,10,"El Paso, Texas"
13040,The Beatrice Daily Express,04-12-1894,1,"Beatrice, Nebraska"
13041,The Washington Times,09-03-1924,1,"Washington, District Of Columbia"
13042,Evening Star,01-28-1930,13,"Washington, District Of Columbia"
13043,The Washington Herald,02-06-1914,9,"Washington, District Of Columbia"
13044,Evening Star,07-27-1930,57,"Washington, District Of Columbia"
13045,Evening Star,03-13-1930,2,"Washington, District Of Columbia"
13046,The San Francisco Call,10-07-1907,5,"San Francisco, California"
13047,The San Francisco Call,11-18-1897,3,"San Francisco, California"
13048,Evening Journal,12-07-1893,1,"Wilmington, Delaware"
13049,Abilene Weekly Reflector,08-23-1900,9,"Abilene, Kansas"
13050,The Hays Free Press,05-02-1914,2,"Hays, Kansas"
13051,The Bismarck Tribune,02-08-1924,5,"Bismarck', 'Mandan, North Dakota"
13052,The San Francisco Call,08-27-1910,16,"San Francisco, California"
13053,Imperial Valley Press,12-01-1917,1,"El Centro, California"
13054,The Bozeman Courier,04-08-1927,15,"Bozeman, Montana"
13055,Omaha Daily Bee,09-19-1899,5,"Omaha, Nebraska"
13056,The Morning Call,10-31-1894,9,"San Francisco, California"
13057,The Salt Lake Herald,11-26-1898,2,"Salt Lake City, Utah"
13058,Las Vegas Daily Optic,02-19-1900,2,"Las Vegas, New Mexico"
13059,The Evening Standard,05-30-1912,6,"Ogden, Utah"
13060,The Salt Lake Tribune,04-05-1905,6,"Salt Lake City, Utah"
13061,The San Francisco Call,08-31-1904,9,"San Francisco, California"
13062,Albuquerque Weekly Citizen,07-18-1903,8,"Albuquerque, New Mexico"
13063,Wheeling Register,12-12-1900,3,"Wheeling, West Virginia"
13064,South Bend News-Times,04-25-1923,2,"South Bend, Indiana"
13065,The Daily Morning Journal And Courier,04-28-1906,9,"New Haven, Connecticut"
13066,The New Haven Union,09-18-1911,5,"New Haven, Connecticut"
13067,The Evening Tribune,05-09-1899,7,"Pawtucket, Rhode Island"
13068,Grand Forks Herald,11-08-1920,15,"Grand Forks, North Dakota"
13069,The San Francisco Call,09-18-1907,6,"San Francisco, California"
13070,The San Francisco Call,11-20-1909,18,"San Francisco, California"
13071,The Abbeville Press And Banner,08-21-1895,6,"Abbeville, South Carolina"
13072,The Kemmerer Republican,06-24-1921,10,"Kemmerer, Wyoming"
13073,Casper Daily Tribune,01-21-1926,1,"Casper, Wyoming"
13074,The News & Observer,11-17-1900,6,"Raleigh, North Carolina"
13075,The Salt Lake Herald-Republican,06-19-1910,31,"Salt Lake City, Utah"
13076,The Pacific Commercial Advertiser,01-04-1910,1,"Honolulu, Hawaii"
13077,The Carlsbad Current,07-30-1920,15,"Carlsbad, New Mexico"
13078,Honolulu Star-Bulletin,06-16-1916,12,"Honolulu, Hawaii"
13079,The Daily Bulletin,10-09-1893,1,"Honolulu, Hawaii"
13080,The Salt Lake Tribune,02-06-1914,6,"Salt Lake City, Utah"
13081,Imperial Valley Press,10-01-1930,6,"El Centro, California"
13082,The San Francisco Call,01-18-1912,16,"San Francisco, California"
13083,The San Francisco Call,01-09-1903,11,"San Francisco, California"
13084,The San Francisco Call,11-02-1912,29,"San Francisco, California"
13085,New-York Tribune,10-10-1910,7,"New York, New York"
13086,Evening Star,11-23-1924,38,"Washington, District Of Columbia"
13087,Evening Star,04-08-1926,2,"Washington, District Of Columbia"
13088,Evening Star,05-31-1929,8,"Washington, District Of Columbia"
13089,The San Francisco Call,04-20-1902,22,"San Francisco, California"
13090,Los Angeles Herald,07-18-1906,2,"Los Angeles, California"
13091,The San Francisco Call,04-28-1910,16,"San Francisco, California"
13092,The Salt Lake Herald,07-04-1893,4,"Salt Lake City, Utah"
13093,New Britain Herald,08-23-1929,1,"New Britain, Connecticut"
13094,New Britain Herald,01-02-1924,1,"New Britain, Connecticut"
13095,Imperial Valley Press,04-16-1930,1,"El Centro, California"
13096,The Watchman And Southron,06-29-1927,1,"Sumter, South Carolina"
13097,Forest City Press,02-13-1908,2,"Forest City, South Dakota"
13098,Custer Weekly Chronicle,02-13-1915,3,"Custer, South Dakota"
13099,The Topeka State Journal,09-19-1907,4,"Topeka, Kansas"
13100,The Topeka State Journal,02-27-1905,4,"Topeka, Kansas"
13101,The Bismarck Tribune,01-16-1930,9,"Bismarck', 'Mandan, North Dakota"
13102,The San Francisco Call,01-10-1901,9,"San Francisco, California"
13103,The Omaha Morning Bee,07-24-1923,3,"Omaha, Nebraska"
13104,The Birmingham Age-Herald,02-18-1915,7,"Birmingham, Alabama"
13105,Brownsville Herald,02-25-1929,1,"Brownsville, Texas"
13106,The Montgomery Advertiser,11-24-1911,11,"Montgomery, Alabama"
13107,The San Francisco Call,12-07-1904,2,"San Francisco, California"
13108,Evening Capital News,08-30-1914,8,"Boise, Idaho"
13109,Arizona Republican,11-20-1907,9,"Phoenix, Arizona"
13110,Jerome Mining News,05-04-1901,3,"Jerome, Arizona"
13111,Bisbee Daily Review,04-21-1910,7,"Bisbee, Arizona"
13112,Los Angeles Herald,06-19-1906,16,"Los Angeles, California"
13113,The Hawaiian Star,09-29-1911,12,"Honolulu, Hawaii"
13114,The Laramie Republican,03-15-1911,1,"Laramie, Wyoming"
13115,Evening Bulletin,05-03-1911,1,"Honolulu, Hawaii"
13116,East Oregonian : E.O,04-30-1910,8,"Pendleton, Oregon"
13117,The Honolulu Republican,07-20-1900,4,"Honolulu, Hawaii"
13118,The Pacific Commercial Advertiser,07-18-1900,6,"Honolulu, Hawaii"
13119,The Laramie Republican,04-19-1916,1,"Laramie, Wyoming"
13120,The Daily Times,07-12-1921,1,"Wilson, North Carolina"
13121,The Hawaiian Star,04-03-1911,5,"Honolulu, Hawaii"
13122,The Hawaiian Star,02-21-1901,6,"Honolulu, Hawaii"
13123,The Ogden Standard-Examiner,04-09-1920,11,"Ogden, Utah"
13124,The Baraboo News,09-21-1904,1,"Baraboo, Wisconsin"
13125,The San Francisco Call,04-15-1912,10,"San Francisco, California"
13126,The San Francisco Call,10-30-1910,62,"San Francisco, California"
13127,The San Francisco Call,08-13-1911,40,"San Francisco, California"
13128,The Bridgeport Times And Evening Farmer,06-19-1920,1,"Bridgeport, Connecticut"
13129,The San Francisco Call,04-07-1901,19,"San Francisco, California"
13130,The Salt Lake Herald,03-08-1898,6,"Salt Lake City, Utah"
13131,The San Francisco Call,03-04-1912,12,"San Francisco, California"
13132,The Mena Weekly Star,02-06-1919,2,"Mena, Arkansas"
13133,The Wallace Miner,01-25-1923,5,"Wallace', 'Kellogg, Idaho"
13134,Arizona Republican,02-09-1920,12,"Phoenix, Arizona"
13135,Der Nordstern,06-26-1924,13,"Saint Cloud, Minnesota"
13136,The Copper Era And Morenci Leader,04-11-1919,1,"Clifton, Arizona"
13137,Graham Guardian,12-05-1913,5,"Safford, Arizona"
13138,Perth Amboy Evening News,11-18-1905,2,"Perth Amboy, New Jersey"
13139,The Virginia Enterprise,09-25-1903,3,"Virginia, Minnesota"
13140,The Times Dispatch,10-12-1911,2,"Richmond, Virginia"
13141,The Daily Worker,05-08-1924,3,"New York', 'Chicago, New York', 'Illinois"
13142,Decorah-Posten Og Ved Arnen,06-23-1914,8,"Decorah, Iowa"
13143,South Bend News-Times,05-05-1926,1,"South Bend, Indiana"
13144,The San Francisco Call,12-19-1909,53,"San Francisco, California"
13145,The Montgomery Advertiser,07-02-1927,1,"Montgomery, Alabama"
13146,The Black Hills Union,10-13-1899,2,"Rapid City, South Dakota"
13147,The Scranton Tribune,05-25-1901,4,"Scranton, Pennsylvania"
13148,The Courier-Journal,12-22-1905,2,"Louisville', 'Shelbyville, Kentucky"
13149,The Omaha Morning Bee,12-25-1924,12,"Omaha, Nebraska"
13150,Belington Progressive,11-04-1926,7,"Belington, West Virginia"
13151,Albuquerque Daily Citizen,07-25-1899,3,"Albuquerque, New Mexico"
13152,The San Francisco Call,04-23-1907,9,"San Francisco, California"
13153,The San Francisco Call,10-10-1907,11,"San Francisco, California"
13154,The San Francisco Call,12-01-1909,11,"San Francisco, California"
13155,The San Francisco Call,08-27-1910,14,"San Francisco, California"
13156,The San Francisco Call,09-29-1912,58,"San Francisco, California"
13157,The San Francisco Call,05-30-1900,8,"San Francisco, California"
13158,The San Francisco Call,06-03-1913,16,"San Francisco, California"
13159,Casper Daily Tribune,04-08-1924,11,"Casper, Wyoming"
13160,New Britain Herald,11-09-1928,37,"New Britain, Connecticut"
13161,The San Francisco Call,03-23-1904,4,"San Francisco, California"
13162,The San Francisco Call,09-06-1905,2,"San Francisco, California"
13163,Casper Daily Tribune,02-01-1925,11,"Casper, Wyoming"
13164,The San Francisco Call,06-28-1913,16,"San Francisco, California"
13165,The San Francisco Call,03-01-1900,8,"San Francisco, California"
