Newspaper Title,Issue Date,Page Number,City,State,PDF Link,prim_long_dec,prim_lat_dec
Holbrook Argus,03-08-1902,2,Holbrook,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_deserttortoise_ver01/data/sn94051342/00202192865/1902030801/0061.pdf,-110.3243196,34.9169602
Arizona State Miner,05-30-1925,8,Wickenburg,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_kaibab_ver02/data/sn95060856/00414217291/1925053001/0136.pdf,-112.8383951,33.8094691
The Ronan Pioneer,08-17-1923,3,Ronan,Montana,https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_ekalaka_ver01/data/sn86075298/00517178548/1923081701/0569.pdf,-114.1007814,47.5287391
The Washington Herald,09-29-1912,2,Washington,District Of Columbia,https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_deltaair_ver01/data/sn83045433/00294558202/1912092901/0611.pdf,-77.0163653,38.9001118
El Paso Herald,07-20-1920,14,El Paso,Texas,https://tile.loc.gov/storage-services/service/ndnp/txdn/batch_txdn_fiji_ver01/data/sn88084272/00294553496/1920072001/0167.pdf,-106.2348175,31.7686274
The Tulsa Star,10-02-1920,7,Tulsa,Oklahoma,https://tile.loc.gov/storage-services/service/ndnp/okhi/batch_okhi_delaware_ver01/data/sn86064118/00237281020/1920100201/0293.pdf,-95.9414756,36.1210986
The Citizen,07-02-1914,4,Berea,Kentucky,https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_judaspriest_ver01/data/sn85052076/00280763536/1914070201/1057.pdf,-84.2460876,37.5957587
The Evening Bulletin,12-06-1890,2,Maysville,Kentucky,https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_hairspray_ver01/data/sn87060190/00211103851/1890120601/1158.pdf,-83.8071166,38.6193758
The Helena Independent,02-14-1890,6,Helena,Montana,https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_ibis_ver01/data/sn83025308/00294550483/1890021401/0993.pdf,-112.0422425,46.6010189
The Philipsburg Mail,08-31-1900,2,Philipsburg,Montana,https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_coyote_ver01/data/sn83025320/00294554658/1900083101/0281.pdf,-113.4387782,46.2548354
The Beatrice Daily Express,01-02-1924,1,Beatrice,Nebraska,https://tile.loc.gov/storage-services/service/ndnp/nbu/batch_nbu_indigobunting_ver01/data/sn84020107/00517014564/1924010201/0124.pdf,-96.7455471,40.2736001
Daily Capital Journal,06-11-1910,3,Salem,Oregon,https://tile.loc.gov/storage-services/service/ndnp/oru/batch_oru_lyonsport_ver02/data/sn99063957/00200298494/1910061101/0410.pdf,-123.0734309,44.9776191
The Browning Review,08-17-1923,7,Browning,Montana,https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_circle_ver01/data/sn84036252/00517178408/1923081701/0483.pdf,-113.0150949,48.5563442
The Wisconsin Weekly Advocate,08-23-1900,4,Milwaukee,Wisconsin,https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_ifill_ver01/data/sn84025861/00211664782/1900082301/0108.pdf,-87.5805487,43.0154569
Weekly Journal-Miner,08-02-1911,1,Prescott,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_bobcat_ver01/data/sn85032923/00211105641/1911080201/0927.pdf,-112.4351225,34.5521228
The Republican,09-12-1901,4,Oakland,Maryland,https://tile.loc.gov/storage-services/service/ndnp/mdu/batch_mdu_hyssop_ver01/data/sn88065202/00340588502/1901091201/0280.pdf,-79.4260971,39.4515715
The Montgomery Advertiser,05-11-1901,9,Montgomery,Alabama,https://tile.loc.gov/storage-services/service/ndnp/au/batch_au_groom_ver01/data/sn84020645/00513683704/1901051101/0015.pdf,-86.2076143,32.220258
The Star,11-22-1893,6,Reynoldsville,Pennsylvania,https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_hetzel_ver01/data/sn87078321/00280776610/1893112201/0667.pdf,-78.8876478,41.0944069
The Birmingham Age-Herald,02-16-1923,7,Birmingham,Alabama,https://tile.loc.gov/storage-services/service/ndnp/au/batch_au_engle_ver01/data/sn85038485/00340582858/1923021601/0965.pdf,-86.6321368,33.6000082
Republican News Item,05-09-1907,2,Laporte,Pennsylvania,https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_carlisle_ver01/data/sn86081854/00296026104/1907050901/0127.pdf,-76.4920044,41.4179835
The Abbeville Press And Banner,08-19-1919,5,Abbeville,South Carolina,https://tile.loc.gov/storage-services/service/ndnp/scu/batch_scu_kingjulius_ver01/data/sn84026853/00202193894/1919081901/0325.pdf,-82.4592739,34.2226276
Marble Hill Press,03-17-1910,6,Marble Hill,Missouri,https://tile.loc.gov/storage-services/service/ndnp/mohi/batch_mohi_marmaduke_ver02/data/sn89066695/00415661666/1910031701/0490.pdf,-89.9807489,37.3031689
The Copper Era And Morenci Leader,08-22-1913,7,Clifton,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_cholla_ver01/data/sn94050892/00202196317/1913082201/0765.pdf,-109.2715255,33.3596869
Douglas Daily Dispatch,09-11-1926,5,Douglas,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_ironsprings_ver01/data/sn84020064/00414217588/1926091101/0598.pdf,-109.4863177,31.4196524
Seward Daily Gateway,12-03-1924,8,Seward,Alaska,https://tile.loc.gov/storage-services/service/ndnp/ak/batch_ak_jaeger_ver01/data/sn87062169/00514154223/1924120301/0030.pdf,-149.5675467,60.1682269
Ajo Copper News,04-11-1925,4,Ajo,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_chrysocolla_ver01/data/sn95060771/00519079215/1925041101/0231.pdf,-110.3340183,35.5833424
The Ocala Banner,07-05-1901,6,Ocala,Florida,https://tile.loc.gov/storage-services/service/ndnp/fu/batch_fu_seven_ver02/data/sn88074815/00175041746/1901070501/0274.pdf,-82.0919527,29.1784025
San Antonio Light,03-19-1924,2,San Antonio,Texas,https://tile.loc.gov/storage-services/service/ndnp/txdn/batch_txdn_bartonville_ver01/data/sn85060004/00517176795/1924031901/0499.pdf,-98.5242934,29.4627143
The Silver State,03-08-1910,1,Winnemucca,Nevada,https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_deeth_ver01/data/sn86076247/00332890426/1910030801/0492.pdf,-117.7215494,40.9530854
The Washington Bee,09-14-1901,5,Washington,District Of Columbia,https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_golf_ver01/data/sn84025891/100493731/1901091401/0160.pdf,-77.0163653,38.9001118
The Red Cloud Chief,04-07-1921,9,Red Cloud,Nebraska,https://tile.loc.gov/storage-services/service/ndnp/nbu/batch_nbu_eisley_ver01/data/sn84022835/00237280520/1921040701/0444.pdf,-98.4470017,40.1325134
The Winslow Mail,11-25-1921,1,Winslow,Arizona,https://tile.loc.gov/storage-services/service/ndnp/az/batch_az_arguingmatch_ver02/data/sn96060765/00383341905/1921112501/0589.pdf,-110.3243196,34.9169602
Imperial Valley Press,07-03-1928,2,El Centro,California,https://tile.loc.gov/storage-services/service/ndnp/curiv/batch_curiv_paperflower_ver01/data/sn92070146/00414188552/1928070301/0918.pdf,-115.6010504,32.7809822
Albuquerque Citizen,04-02-1908,1,Albuquerque,New Mexico,https://tile.loc.gov/storage-services/service/ndnp/nmu/batch_nmu_ironweed_ver01/data/sn84020616/00280774224/1908040201/0664.pdf,-106.667526,35.1017126
The Butler County Press,05-04-1923,2,Hamilton,Ohio,https://tile.loc.gov/storage-services/service/ndnp/ohi/batch_ohi_buttercup_ver01/data/sn83045012/00414210284/1923050401/0691.pdf,-84.542753,39.1955434
Lovelock Tribune,03-17-1910,3,Lovelock,Nevada,https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_jackpot_ver01/data/sn86091313/00332891327/1910031701/0214.pdf,-118.4832107,40.1739001
Marietta Daily Leader,02-20-1900,2,Marietta,Ohio,https://tile.loc.gov/storage-services/service/ndnp/ohi/batch_ohi_charlie_ver01/data/sn87075213/00237283843/1900022001/1052.pdf,-81.4465256,39.4240818
