Unnamed: 0,Newspaper Title,Issue Date,Page Number,City,PDF Link
25,The Washington Times,08-06-1930,1,"Washington, District Of Columbia",https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_brookland_ver01/data/sn84026749/00222254632/1930080601/0159.pdf
26,The Kevin Review,07-07-1927,6,"Kevin, Montana",https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_clarkia_ver01/data/sn85053343/00340581866/1927070701/0207.pdf
27,The Evening Herald,06-08-1899,3,"Shenandoah, Pennsylvania",https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_armsby_ver01/data/sn87078000/00237281834/1899060801/0564.pdf
28,The Goldfield News And Weekly Tribune,01-23-1915,2,"Goldfield, Nevada",https://tile.loc.gov/storage-services/service/ndnp/nvln/batch_nvln_sparks_ver01/data/sn85058376/00279554292/1915012301/0440.pdf
29,The Washington Times,03-20-1930,30,"Washington, District Of Columbia",https://tile.loc.gov/storage-services/service/ndnp/dlc/batch_dlc_adamsmorgan_ver01/data/sn84026749/00222254681/1930032001/0796.pdf
30,Plentywood Herald,07-08-1927,6,"Plentywood, Montana",https://tile.loc.gov/storage-services/service/ndnp/mthi/batch_mthi_horsetail_ver01/data/sn86075293/00340581908/1927070801/0215.pdf
31,The Scranton Tribune,06-02-1899,8,"Scranton, Pennsylvania",https://tile.loc.gov/storage-services/service/ndnp/pst/batch_pst_atherton_ver01/data/sn84026355/00211100266/1899060201/0481.pdf
32,The Madison Daily Leader,01-26-1910,1,"Madison, South Dakota",https://tile.loc.gov/storage-services/service/ndnp/sdhi/batch_sdhi_grenada_ver01/data/sn99062034/00279523064/1910012601/0398.pdf
33,The Guthrie Daily Leader,07-31-1900,7,"Guthrie, Oklahoma",https://tile.loc.gov/storage-services/service/ndnp/okhi/batch_okhi_ellis_ver01/data/sn86063952/00237280891/1900073101/0619.pdf
34,The Paducah Sun,03-29-1901,2,"Paducah, Kentucky",https://tile.loc.gov/storage-services/service/ndnp/kyu/batch_kyu_liberace_ver01/data/sn85052116/00175044218/1901032901/0337.pdf
